,match,BowlingTeam,bowling_pos,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB
9348,Rajasthan Royals vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Isuru Udana,3,0,43,0,14.33,4,5,2,2,0
9349,Rajasthan Royals vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Navdeep Saini,4,0,30,0,7.50,6,3,0,0,0
9350,Rajasthan Royals vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Yuzvendra Chahal,4,0,34,2,8.50,9,3,1,1,2
9351,Rajasthan Royals vs Royal Challengers Bangalore,Royal Challengers Bangalore,6,Shahbaz Ahmed,2,0,18,0,9.00,3,1,1,0,0
9352,Rajasthan Royals vs Royal Challengers Bangalore,Rajasthan Royals,1,Jofra Archer,3.4,0,38,0,10.36,8,0,4,1,0
9353,Rajasthan Royals vs Royal Challengers Bangalore,Rajasthan Royals,2,Shreyas Gopal,4,0,32,1,8.00,5,0,1,1,0
9354,Rajasthan Royals vs Royal Challengers Bangalore,Rajasthan Royals,3,Kartik Tyagi,4,0,32,1,8.00,8,3,0,3,0
9355,Rajasthan Royals vs Royal Challengers Bangalore,Rajasthan Royals,4,Jaydev Unadkat,4,0,46,0,11.50,8,2,4,1,0
9356,Rajasthan Royals vs Royal Challengers Bangalore,Rajasthan Royals,5,Rahul Tewatia,4,0,30,1,7.50,8,0,1,5,1
9357,Chennai Super Kings vs Delhi Capitals,Delhi Capitals,1,Tushar Deshpande,4,0,39,1,9.75,9,3,2,2,0
9358,Chennai Super Kings vs Delhi Capitals,Delhi Capitals,2,Kagiso Rabada,4,1,33,1,8.25,12,3,2,1,1
9359,Chennai Super Kings vs Delhi Capitals,Delhi Capitals,3,Axar Patel,4,0,23,0,5.75,5,1,0,0,0
9360,Chennai Super Kings vs Delhi Capitals,Delhi Capitals,4,Anrich Nortje,4,0,44,2,11.00,10,3,4,0,0
9361,Chennai Super Kings vs Delhi Capitals,Delhi Capitals,5,Ravichandran Ashwin,3,0,30,0,10.00,5,3,1,0,0
9362,Chennai Super Kings vs Delhi Capitals,Delhi Capitals,6,Marcus Stoinis,1,0,10,0,10.00,1,0,1,0,0
9363,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,1,Deepak Chahar,4,1,18,2,4.50,10,1,0,0,0
9364,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,2,Sam Curran,4,0,35,1,8.75,10,5,1,1,0
9365,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,3,Shardul Thakur,4,0,39,1,9.75,5,3,2,0,0
9366,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,4,Ravindra Jadeja,1.5,0,35,0,19.09,0,2,3,1,0
9367,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,5,Karn Sharma,3,0,34,0,11.33,3,4,1,0,0
9368,Chennai Super Kings vs Delhi Capitals,Chennai Super Kings,6,Dwayne Bravo,3,0,23,1,7.66,4,2,0,1,0
9369,Kolkata Knight Riders vs Sunrisers Hyderabad,Sunrisers Hyderabad,1,Sandeep Sharma,4,0,27,0,6.75,6,1,1,0,0
9370,Kolkata Knight Riders vs Sunrisers Hyderabad,Sunrisers Hyderabad,2,Basil Thampi,4,0,46,1,11.50,5,6,1,0,0
9371,Kolkata Knight Riders vs Sunrisers Hyderabad,Sunrisers Hyderabad,3,T Natarajan,4,0,40,2,10.00,9,4,2,0,1
9372,Kolkata Knight Riders vs Sunrisers Hyderabad,Sunrisers Hyderabad,4,Vijay Shankar,4,0,20,1,5.00,13,3,0,0,0
9373,Kolkata Knight Riders vs Sunrisers Hyderabad,Sunrisers Hyderabad,5,Rashid Khan,4,0,28,1,7.00,9,2,1,0,0
9374,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,1,Pat Cummins,4,0,28,1,7.00,13,3,1,0,0
9375,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,2,Shivam Mavi,3,0,34,1,11.33,6,5,1,1,0
9376,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,3,Varun Chakravarthy,4,0,32,1,8.00,7,4,0,0,0
9377,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,4,Andre Russell,2,0,29,0,14.50,3,6,0,0,1
9378,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,5,Lockie Ferguson,4,0,15,3,3.75,13,0,0,0,0
9379,Kolkata Knight Riders vs Sunrisers Hyderabad,Kolkata Knight Riders,6,Kuldeep Yadav,3,0,18,0,6.00,5,0,0,1,0
9380,Mumbai Indians vs Kings XI Punjab,Kings XI Punjab,1,Glenn Maxwell,4,0,24,0,6.00,9,3,0,0,0
9381,Mumbai Indians vs Kings XI Punjab,Kings XI Punjab,2,Mohammed Shami,4,0,30,2,7.50,12,4,0,0,0
9382,Mumbai Indians vs Kings XI Punjab,Kings XI Punjab,3,Arshdeep Singh,3,0,35,2,11.66,8,3,3,1,0
9383,Mumbai Indians vs Kings XI Punjab,Kings XI Punjab,4,Chris Jordan,3,0,32,1,10.66,6,1,3,0,0
9384,Mumbai Indians vs Kings XI Punjab,Kings XI Punjab,5,Murugan Ashwin,3,0,28,0,9.33,7,4,1,0,0
9385,Mumbai Indians vs Kings XI Punjab,Kings XI Punjab,6,Deepak Hooda,1,0,9,0,9.00,2,0,1,0,0
9386,Mumbai Indians vs Kings XI Punjab,Kings XI Punjab,7,Ravi Bishnoi,2,0,12,1,6.00,5,0,1,0,0
9387,Mumbai Indians vs Kings XI Punjab,Mumbai Indians,1,Trent Boult,4,0,48,0,12.00,6,6,2,1,0
9388,Mumbai Indians vs Kings XI Punjab,Mumbai Indians,2,Krunal Pandya,2,0,12,0,6.00,5,1,0,0,0
9389,Mumbai Indians vs Kings XI Punjab,Mumbai Indians,3,Jasprit Bumrah,4,0,24,3,6.00,12,1,1,1,0
9390,Mumbai Indians vs Kings XI Punjab,Mumbai Indians,4,Nathan Coulter-Nile,4,0,33,0,8.25,9,3,1,0,0
9391,Mumbai Indians vs Kings XI Punjab,Mumbai Indians,5,Kieron Pollard,2,0,26,0,13.00,3,1,2,2,0
9392,Mumbai Indians vs Kings XI Punjab,Mumbai Indians,6,Rahul Chahar,4,0,33,2,8.25,9,2,2,0,0
9393,Chennai Super Kings vs Rajasthan Royals,Rajasthan Royals,1,Jofra Archer,4,0,20,1,5.00,11,2,0,0,0
9394,Chennai Super Kings vs Rajasthan Royals,Rajasthan Royals,2,Ankit Rajpoot,1,0,8,0,8.00,2,1,0,0,0
9395,Chennai Super Kings vs Rajasthan Royals,Rajasthan Royals,3,Kartik Tyagi,4,0,35,1,8.75,11,7,0,1,0
9396,Chennai Super Kings vs Rajasthan Royals,Rajasthan Royals,4,Ben Stokes,3,0,27,0,9.00,4,2,1,0,0
9397,Chennai Super Kings vs Rajasthan Royals,Rajasthan Royals,5,Shreyas Gopal,4,0,14,1,3.50,12,0,0,0,0
9398,Chennai Super Kings vs Rajasthan Royals,Rajasthan Royals,6,Rahul Tewatia,4,0,18,1,4.50,11,0,0,0,1
9399,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,1,Deepak Chahar,4,1,18,2,4.50,17,2,0,0,0
9400,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,2,Josh Hazlewood,4,0,19,1,4.75,14,2,0,0,0
9401,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,3,Ravindra Jadeja,1.3,0,11,0,7.33,2,1,0,0,0
9402,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,4,Shardul Thakur,4,0,34,0,8.50,8,3,1,1,0
9403,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,5,Sam Curran,1,0,6,0,6.00,2,0,0,0,0
9404,Chennai Super Kings vs Rajasthan Royals,Chennai Super Kings,6,Piyush Chawla,3,0,32,0,10.66,5,4,1,0,0
9405,Delhi Capitals vs Kings XI Punjab,Kings XI Punjab,1,Glenn Maxwell,4,0,31,1,7.75,5,2,1,0,0
9406,Delhi Capitals vs Kings XI Punjab,Kings XI Punjab,2,Mohammed Shami,4,0,28,2,7.00,12,4,0,2,0
